Name,Lat,Long,Year,Mean
ANNUELLO,-34.8497,142.7807,1930,19.9
ANNUELLO,-34.8497,142.7807,1940,21.22
ANNUELLO,-34.8497,142.7807,1950,23.82
ANNUELLO,-34.8497,142.7807,1960,29.1
ANNUELLO,-34.8497,142.7807,1970,24.52
ANNUELLO,-34.8497,142.7807,1980,31.14
ANNUELLO,-34.8497,142.7807,1990,25.94
ANNUELLO,-34.8497,142.7807,2000,27.3
ANNUELLO,-34.8497,142.7807,2010,24.05
ANNUELLO,-34.8497,142.7807,2020,23.89
ANNUELLO,-34.8497,142.7807,2030,25.46
ANNUELLO (MOSTANK),-34.8000,142.7500,1930,25.53
ANNUELLO (MOSTANK),-34.8000,142.7500,1940,25.72
ANNUELLO (MOSTANK),-34.8000,142.7500,1950,23.56
ANNUELLO (MOSTANK),-34.8000,142.7500,1960,29.25
ANNUELLO (MOSTANK),-34.8000,142.7500,2030,26.08
BANNERTON,-34.7233,142.7902,1930,23.67
BANNERTON,-34.7233,142.7902,1940,24.88
BANNERTON,-34.7233,142.7902,1950,26.27
BANNERTON,-34.7233,142.7902,1960,29.59
BANNERTON,-34.7233,142.7902,1970,26.67
BANNERTON,-34.7233,142.7902,1980,30.9
BANNERTON,-34.7233,142.7902,1990,26.0
BANNERTON,-34.7233,142.7902,2000,24.6
BANNERTON,-34.7233,142.7902,2030,26.1
BARING (KINTA),-35.3833,142.0667,1930,18.71
BARING (KINTA),-35.3833,142.0667,1940,28.19
BARING (KINTA),-35.3833,142.0667,1950,27.29
BARING (KINTA),-35.3833,142.0667,1960,32.32
BARING (KINTA),-35.3833,142.0667,1970,29.34
BARING (KINTA),-35.3833,142.0667,2030,28.48
BENETOOK NORTH,-34.1000,141.8000,1940,14.34
BENETOOK NORTH,-34.1000,141.8000,1950,19.17
BENETOOK NORTH,-34.1000,141.8000,2030,17.51
CARWARP,-34.4667,142.2000,1920,26.94
CARWARP,-34.4667,142.2000,1930,20.74
CARWARP,-34.4667,142.2000,1940,21.33
CARWARP,-34.4667,142.2000,1950,20.25
CARWARP,-34.4667,142.2000,1960,30.85
CARWARP,-34.4667,142.2000,1970,24.17
CARWARP,-34.4667,142.2000,1980,30.05
CARWARP,-34.4667,142.2000,2030,24.56
TUTYE (BUNUROUK) COMPARISON,-35.2858,141.4935,2030,29.77
CHINKAPOOK,-35.2000,142.9500,1940,16.13
CHINKAPOOK,-35.2000,142.9500,1950,25.19
CHINKAPOOK,-35.2000,142.9500,1960,31.57
CHINKAPOOK,-35.2000,142.9500,1970,29.13
CHINKAPOOK,-35.2000,142.9500,2030,28.31
COLIGNAN,-34.5000,142.4000,1930,18.59
COLIGNAN,-34.5000,142.4000,1940,21.84
COLIGNAN,-34.5000,142.4000,1950,21.78
COLIGNAN,-34.5000,142.4000,2030,21.69
COWANGIE,-35.2339,141.3828,1920,29.37
COWANGIE,-35.2339,141.3828,1930,28.08
COWANGIE,-35.2339,141.3828,1940,26.3
COWANGIE,-35.2339,141.3828,1950,24.95
COWANGIE,-35.2339,141.3828,1960,25.04
COWANGIE,-35.2339,141.3828,1970,25.84
COWANGIE,-35.2339,141.3828,1980,25.31
COWANGIE,-35.2339,141.3828,1990,25.09
COWANGIE,-35.2339,141.3828,2000,24.75
COWANGIE,-35.2339,141.3828,2030,25.74
CRAMENTON,-34.8000,142.4667,1930,36.17
CRAMENTON,-34.8000,142.4667,1940,24.12
CRAMENTON,-34.8000,142.4667,1950,24.03
CRAMENTON,-34.8000,142.4667,1960,29.3
CRAMENTON,-34.8000,142.4667,1970,25.08
CRAMENTON,-34.8000,142.4667,1980,29.23
CRAMENTON,-34.8000,142.4667,2030,26.23
MANANGATANG (DAYTRAP),-35.1966,142.8014,1930,43.35
MANANGATANG (DAYTRAP),-35.1966,142.8014,1950,23.25
MANANGATANG (DAYTRAP),-35.1966,142.8014,1960,28.32
MANANGATANG (DAYTRAP),-35.1966,142.8014,1970,27.27
MANANGATANG (DAYTRAP),-35.1966,142.8014,1980,29.87
MANANGATANG (DAYTRAP),-35.1966,142.8014,1990,22.1
MANANGATANG (DAYTRAP),-35.1966,142.8014,2000,25.0
MANANGATANG (DAYTRAP),-35.1966,142.8014,2030,25.5
MANANGATANG (EUREKA EAST),-35.1702,143.0001,1920,24.5
MANANGATANG (EUREKA EAST),-35.1702,143.0001,1930,19.89
MANANGATANG (EUREKA EAST),-35.1702,143.0001,1950,24.68
MANANGATANG (EUREKA EAST),-35.1702,143.0001,1960,30.34
MANANGATANG (EUREKA EAST),-35.1702,143.0001,1970,27.03
MANANGATANG (EUREKA EAST),-35.1702,143.0001,1980,29.85
MANANGATANG (EUREKA EAST),-35.1702,143.0001,1990,26.34
MANANGATANG (EUREKA EAST),-35.1702,143.0001,2000,26.62
MANANGATANG (EUREKA EAST),-35.1702,143.0001,2010,25.1
MANANGATANG (EUREKA EAST),-35.1702,143.0001,2020,22.52
MANANGATANG (EUREKA EAST),-35.1702,143.0001,2030,25.9
GALAH,-35.0974,142.1716,1920,28.22
GALAH,-35.0974,142.1716,1930,24.8
GALAH,-35.0974,142.1716,1940,24.43
GALAH,-35.0974,142.1716,1950,23.94
GALAH,-35.0974,142.1716,1960,29.47
GALAH,-35.0974,142.1716,1970,27.86
GALAH,-35.0974,142.1716,1980,32.18
GALAH,-35.0974,142.1716,1990,24.36
GALAH,-35.0974,142.1716,2000,25.82
GALAH,-35.0974,142.1716,2030,26.17
HAYSDALE,-34.8833,143.2667,1930,22.17
HAYSDALE,-34.8833,143.2667,1940,19.48
HAYSDALE,-34.8833,143.2667,1950,21.57
HAYSDALE,-34.8833,143.2667,1960,29.87
HAYSDALE,-34.8833,143.2667,1970,26.04
HAYSDALE,-34.8833,143.2667,1980,33.42
HAYSDALE,-34.8833,143.2667,2030,26.1
IRYMPLE (ARLINGTON),-34.2262,142.1512,1910,27.96
IRYMPLE (ARLINGTON),-34.2262,142.1512,1920,25.68
IRYMPLE (ARLINGTON),-34.2262,142.1512,1930,18.95
IRYMPLE (ARLINGTON),-34.2262,142.1512,1940,19.7
IRYMPLE (ARLINGTON),-34.2262,142.1512,1950,20.8
IRYMPLE (ARLINGTON),-34.2262,142.1512,1960,25.17
IRYMPLE (ARLINGTON),-34.2262,142.1512,1970,21.95
IRYMPLE (ARLINGTON),-34.2262,142.1512,1980,28.37
IRYMPLE (ARLINGTON),-34.2262,142.1512,1990,22.53
IRYMPLE (ARLINGTON),-34.2262,142.1512,2000,24.37
IRYMPLE (ARLINGTON),-34.2262,142.1512,2010,20.05
IRYMPLE (ARLINGTON),-34.2262,142.1512,2020,20.94
IRYMPLE (ARLINGTON),-34.2262,142.1512,2030,22.92
KADOON,-35.2000,141.4000,1940,18.79
KADOON,-35.2000,141.4000,1950,22.14
KADOON,-35.2000,141.4000,2030,22.34
MANANGATANG (CHINKAPOOK),-35.9448,142.0401,2000,40.96
MANANGATANG (CHINKAPOOK),-35.9448,142.0401,2010,25.95
MANANGATANG (CHINKAPOOK),-35.9448,142.0401,2020,23.33
MANANGATANG (CHINKAPOOK),-35.9448,142.0401,2030,25.72
MANANGATANG (COCAMBA),-35.1136,142.9194,2000,39.77
MANANGATANG (COCAMBA),-35.1136,142.9194,2010,22.52
MANANGATANG (COCAMBA),-35.1136,142.9194,2020,21.46
MANANGATANG (COCAMBA),-35.1136,142.9194,2030,23.47
KARAWINNA 2,-34.4000,141.7000,1950,30.86
KARAWINNA 2,-34.4000,141.7000,2030,23.91
KARAWINNA SOUTH,-34.4000,141.7000,2030,14.63
KOOLOONONG,-34.8833,143.1333,1950,23.09
KOOLOONONG,-34.8833,143.1333,1960,26.91
KOOLOONONG,-34.8833,143.1333,2030,25.07
KULWIN,-35.1000,142.6500,1930,25.22
KULWIN,-35.1000,142.6500,1940,26.49
KULWIN,-35.1000,142.6500,1950,21.99
KULWIN,-35.1000,142.6500,2030,24.66
KURNWILL,-34.4613,141.3923,1930,19.02
KURNWILL,-34.4613,141.3923,1950,21.17
KURNWILL,-34.4613,141.3923,1960,24.0
KURNWILL,-34.4613,141.3923,1970,23.01
KURNWILL,-34.4613,141.3923,1980,27.55
KURNWILL,-34.4613,141.3923,1990,23.22
KURNWILL,-34.4613,141.3923,2000,25.0
KURNWILL,-34.4613,141.3923,2010,20.94
KURNWILL,-34.4613,141.3923,2030,23.37
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,1930,20.57
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,1940,22.11
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,1950,21.44
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,1960,25.84
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,1970,25.07
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,1980,30.08
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,1990,26.51
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,2000,25.66
ROBINVALE (KYNDALYN PARK),-34.7122,142.9276,2030,24.38
MANANGATANG,-35.0551,142.8832,1920,24.64
MANANGATANG,-35.0551,142.8832,1930,26.34
MANANGATANG,-35.0551,142.8832,1940,24.56
MANANGATANG,-35.0551,142.8832,1950,26.5
MANANGATANG,-35.0551,142.8832,1960,28.51
MANANGATANG,-35.0551,142.8832,1970,26.7
MANANGATANG,-35.0551,142.8832,1980,30.05
MANANGATANG,-35.0551,142.8832,1990,25.83
MANANGATANG,-35.0551,142.8832,2000,25.18
MANANGATANG,-35.0551,142.8832,2010,24.38
MANANGATANG,-35.0551,142.8832,2030,26.15
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,1920,45.32
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,1930,20.53
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,1940,21.08
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,1950,20.96
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,1960,25.8
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,1970,22.16
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,1980,30.05
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,1990,24.59
MERBEIN CSIRO RESEARCH STATION,-34.2133,142.0400,2030,23.92
MERBEIN SRWSC,-34.1667,142.0667,1920,22.52
MERBEIN SRWSC,-34.1667,142.0667,1930,20.46
MERBEIN SRWSC,-34.1667,142.0667,1940,21.56
MERBEIN SRWSC,-34.1667,142.0667,1950,20.89
MERBEIN SRWSC,-34.1667,142.0667,1960,26.71
MERBEIN SRWSC,-34.1667,142.0667,1970,22.44
MERBEIN SRWSC,-34.1667,142.0667,2030,23.19
MERBEIN WEST,-34.2000,142.0000,1940,20.87
MERBEIN WEST,-34.2000,142.0000,1950,20.61
MERBEIN WEST,-34.2000,142.0000,2030,21.06
MERINGUR,-34.3895,141.3352,1930,19.31
MERINGUR,-34.3895,141.3352,1940,20.15
MERINGUR,-34.3895,141.3352,1950,19.8
MERINGUR,-34.3895,141.3352,1960,24.14
MERINGUR,-34.3895,141.3352,1970,23.74
MERINGUR,-34.3895,141.3352,1980,28.2
MERINGUR,-34.3895,141.3352,1990,21.7
MERINGUR,-34.3895,141.3352,2000,27.02
MERINGUR,-34.3895,141.3352,2010,19.67
MERINGUR,-34.3895,141.3352,2020,21.15
MERINGUR,-34.3895,141.3352,2030,22.77
MERRINEE,-34.3846,141.7580,1930,22.67
MERRINEE,-34.3846,141.7580,1940,22.58
MERRINEE,-34.3846,141.7580,1950,21.52
MERRINEE,-34.3846,141.7580,1960,26.55
MERRINEE,-34.3846,141.7580,1970,22.27
MERRINEE,-34.3846,141.7580,1980,26.49
MERRINEE,-34.3846,141.7580,1990,23.01
MERRINEE,-34.3846,141.7580,2000,26.05
MERRINEE,-34.3846,141.7580,2010,19.85
MERRINEE,-34.3846,141.7580,2020,20.39
MERRINEE,-34.3846,141.7580,2030,23.16
MILDURA AIRPORT,-34.2358,142.0867,1950,23.67
MILDURA AIRPORT,-34.2358,142.0867,1960,25.77
MILDURA AIRPORT,-34.2358,142.0867,1970,22.13
MILDURA AIRPORT,-34.2358,142.0867,1980,27.34
MILDURA AIRPORT,-34.2358,142.0867,1990,22.3
MILDURA AIRPORT,-34.2358,142.0867,2000,24.8
MILDURA AIRPORT,-34.2358,142.0867,2010,20.88
MILDURA AIRPORT,-34.2358,142.0867,2020,22.72
MILDURA AIRPORT,-34.2358,142.0867,2030,23.84
MILDURA SE,-34.2164,142.1667,1940,21.25
MILDURA SE,-34.2164,142.1667,1950,22.05
MILDURA SE,-34.2164,142.1667,1960,27.58
MILDURA SE,-34.2164,142.1667,1970,22.52
MILDURA SE,-34.2164,142.1667,1980,27.91
