Year,Rain
1854,45.71
1855,55.42
1856,63.03
1857,60.71
1858,55.74
1859,51.44
1860,56.16
1861,62.04
1862,51.9
1863,79.38
1864,60.1
1865,43.24
1866,55.21
1867,64.29
1868,48.16
1869,55.35
1870,77.47
1871,63.21
1872,73.48
1873,61.16
1874,65.68
1875,74.39
1876,53.28
1877,49.27
1878,59.75
1879,52.14
1880,65.52
1881,50.68
1882,52.51
1883,57.18
1884,51.27
1885,53.88
1886,57.08
1887,70.46
1888,43.15
1889,70.35
1890,61.07
1891,56.15
1892,55.92
1893,63.09
1894,63.44
1895,45.72
1896,48.33
1897,49.11
1898,45.42
1899,53.83
1900,55.73
1901,49.98
1902,41.36
1903,60.89
1904,52.86
1905,54.51
1906,62.75
1907,47.08
1908,43.75
1909,60.06
1910,58.09
1911,64.32
1912,49.33
1913,51.48
1914,34.21
1915,50.92
1916,68.5
1917,68.49
1918,55.02
1919,48.73
1920,55.37
1921,56.52
1922,48.33
1923,56.25
1924,65.94
1925,43.41
1926,48.9
1927,39.68
1928,56.75
1929,49.33
1930,55.89
1931,58.5
1932,58.29
1933,52.43
1934,61.48
1935,59.64
1936,55.85
1937,45.23
1938,35.25
1939,68.8
1940,37.68
1941,53.8
1942,58.68
1943,43.82
1944,39.54
1945,44.86
1946,64.88
1947,62.97
1948,51.97
1949,59.2
1950,59.62
1951,64.55
1952,76.76
1953,59.12
1954,58.45
1955,69.03
1956,77.55
1957,48.67
1958,60.03
1959,50.4
1960,69.91
1961,50.25
1962,55.03
1963,59.32
1964,69.09
1965,48.19
1966,62.79
1967,33.1
1968,61.4
1969,57.0
1970,70.61
1971,66.93
1972,43.67
1973,80.39
1974,78.2
1975,68.07
1976,50.13
1977,50.18
1978,73.22
1979,52.92
1980,54.68
1981,61.51
1982,34.85
1983,65.83
1984,57.57
1985,61.27
1986,59.48
1987,56.39
1988,64.03
1989,66.06
1990,58.22
1991,60.46
1992,74.54
1993,69.55
1994,44.76
1995,65.87
1996,64.76
1997,41.29
1998,54.69
1999,54.28
2000,59.75
2001,56.44
2002,42.86
2003,55.72
2004,54.87
2005,57.63
2006,34.51
2007,55.36
2008,46.35
2009,48.32
2010,77.82
2011,71.99
2012,58.99
2013,57.5
2014,50.65
2015,45.93
2016,70.02
2017,56.56
2018,45.96
2019,44.24
2020,62.45
2021,65.38
2022,78.23
2023,57.34
2024,47.05
