Year,Rain
1854,45.708333333333336
1855,55.422222222222224
1856,63.02569444444444
1857,60.7111111111111
1858,55.74180555555555
1859,51.4362962962963
1860,56.159974747474735
1861,62.036212121212124
1862,51.89606060606061
1863,79.38301767676768
1864,60.10094276094276
1865,43.23500000000001
1866,55.21351010101009
1867,64.29128588935573
1868,48.164437277835106
1869,55.350216165413535
1870,77.46830896686158
1871,63.21006179810527
1872,73.48242863984674
1873,61.16387054589675
1874,65.68178697675408
1875,74.39036077235772
1876,53.28150406504066
1877,49.26848275263177
1878,59.75314048383506
1879,52.14352222608019
1880,65.5172172795822
1881,50.67781805431469
1882,52.50590505322814
1883,57.179473093024406
1884,51.27474580837865
1885,53.88023909780665
1886,57.08404220979918
1887,70.4619311519392
1888,43.15078620010191
1889,70.34804919989101
1890,61.07421643763192
1891,56.14897395777249
1892,55.91506141857213
1893,63.09106450809727
1894,63.441774922100706
1895,45.720965568066504
1896,48.33320230397107
1897,49.105852761008144
1898,45.41877357694282
1899,53.8342944018205
1900,55.72584570574535
1901,49.983351727413144
1902,41.36437327321995
1903,60.88520254322312
1904,52.85967647891707
1905,54.50802387113978
1906,62.74835566496399
1907,47.08470597850704
1908,43.75403752077023
1909,60.057062338638694
1910,58.09056610931609
1911,64.3157595913765
1912,49.32780860254923
1913,51.47650771740491
1914,34.21367805955245
1915,50.918001376884405
1916,68.49635598300056
1917,68.48799583615899
1918,55.019848922486425
1919,48.725471346093
1920,55.37101061923485
1921,56.516167022094386
1922,48.331361134659936
1923,56.25349725061097
1924,65.93634811228385
1925,43.40910765574608
1926,48.8968367489963
1927,39.67791907569593
1928,56.751990742312536
1929,49.32786821404576
1930,55.89058562759967
1931,58.49909282045737
1932,58.28815124048449
1933,52.42659649711317
1934,61.48192887459791
1935,59.63721620941218
1936,55.850306968940345
1937,45.22992117240924
1938,35.247320899917035
1939,68.80317077124441
1940,37.67715815650356
1941,53.80050542071721
1942,58.67633887641278
1943,43.81811975544327
1944,39.538352316846726
1945,44.85574712183759
1946,64.87958451760726
1947,62.97463701320117
1948,51.9689652176102
1949,59.20268841361422
1950,59.621653404521915
1951,64.54868604089548
1952,76.7623554174187
1953,59.120648329084226
1954,58.453333164485144
1955,69.02580092349838
1956,77.55450975084928
1957,48.67081471816434
1958,60.02828990473156
1959,50.39643212270084
1960,69.90969576203747
1961,50.25250760765794
1962,55.02843415180117
1963,59.31880844692626
1964,69.08973385048985
1965,48.19312731140022
1966,62.78932433282159
1967,33.104714568767996
1968,61.40209142883299
1969,57.004537402009724
1970,70.61277352483854
1971,66.92506738452295
1972,43.67298369057479
1973,80.38848452653478
1974,78.19703164931663
1975,68.06696903184043
1976,50.130799995644196
1977,50.181849023771804
1978,73.22198215329891
1979,52.921079087100225
1980,54.67898977025255
1981,61.51288311723055
1982,34.849405603294976
1983,65.83388850792173
1984,57.56998382874598
1985,61.27253608519118
1986,59.48205109614049
1987,56.3865714158965
1988,64.02959136768881
1989,66.06211585154922
1990,58.218851621470264
1991,60.457599154415
1992,74.53857589554885
1993,69.54851898556346
1994,44.757425420328396
1995,65.87241557761305
1996,64.75859487902099
1997,41.28631923646778
1998,54.6896038143857
1999,54.2763775125544
2000,59.749431761675844
2001,56.43860205788826
2002,42.85503559552475
2003,55.71569553597721
2004,54.870284368264514
2005,57.62613540113401
2006,34.51166902887371
2007,55.36327733571964
2008,46.35350872535046
2009,48.32266831557905
2010,77.8196425453458
2011,71.98900878608798
2012,58.987126225878875
2013,57.49556834808541
2014,50.65247229662919
2015,45.92954844047924
2016,70.01667356118496
2017,56.55577976121207
2018,45.96350164984051
2019,44.2427351039618
2020,62.45042098175167
2021,65.38487156625224
2022,78.23122068400211
2023,57.34222318928855
2024,47.054554677962095
